rte,rte_desc,dir,dir_desc
90,MAX Red Line,0,To Portland International Airport
90,MAX Red Line,1,To Beaverton Transit Center
100,MAX Blue Line,0,To Gresham
100,MAX Blue Line,1,To Hillsboro
190,MAX Yellow Line,0,To Expo Center
190,MAX Yellow Line,1,To Portland City Center
200,MAX Green Line,0,To Clackamas Town Center
200,MAX Green Line,1,To Portland City Center/PSU
290,MAX Orange Line,0,To Portland City Center
290,MAX Orange Line,1,To Milwaukie
193,NS - Portland Streetcar,0,To NW 23rd and Marshall
193,NS - Portland Streetcar,1,To South Waterfront
194,A Loop - Portland Streetcar,0,Clockwise
195,B Loop - Portland Streetcar,0,Counter-clockwise
1,1 - Vermont,0,To Vermont & Shattuck and Maplewood
1,1 - Vermont,1,To Portland City Center
4,4 - Division/Fessenden,0,To Gresham Transit Center
4,4 - Division/Fessenden,1,To St Johns
6,6 - Martin Luther King Jr Blvd,0,To Jantzen Beach
6,6 - Martin Luther King Jr Blvd,1,To Portland City Center
8,8 - Jackson Park/NE 15th,0,To Marquam Hill
8,8 - Jackson Park/NE 15th,1,To Dekum & M L King Jr Blvd
9,9 - Powell Blvd,0,To Powell & 98th or Gresham Transit Center
9,9 - Powell Blvd,1,To Portland
10,10 - Harold St,0,To Foster & 94th
10,10 - Harold St,1,To Portland City Center
11,11 - Rivergate/Marine Dr,0,To Vancouver Way & Middlefield
11,11 - Rivergate/Marine Dr,1,To St Johns
12,12 - Barbur/Sandy Blvd,0,To Tigard Transit Center
12,12 - Barbur/Sandy Blvd,1,To Parkrose/Sumner Transit Center
14,14 - Hawthorne,0,To Foster & 94th
14,14 - Hawthorne,1,To Portland City Center
15,15 - Belmont/NW 23rd,0,"To City Ctr, Montgomery Pk, Thurman or Yeon & 44th"
15,15 - Belmont/NW 23rd,1,To Gateway Transit Center
16,16 - Front Ave/St Helens Rd,0,To St Johns and Sauvie Island
16,16 - Front Ave/St Helens Rd,1,To Portland
17,17 - Holgate/Broadway,0,To Holgate & 134th
17,17 - Holgate/Broadway,1,To Saratoga & 27th
18,18 - Hillside,0,To Hillside and Providence Park
19,19 - Woodstock/Glisan,0,To Mt. Scott & 112th
19,19 - Woodstock/Glisan,1,To Gateway Transit Center
20,20 - Burnside/Stark,0,To 23rd & Burnside or Beaverton Transit Center
20,20 - Burnside/Stark,1,To Gresham Transit Center
21,21 - Sandy Blvd/223rd,0,To Parkrose/Sumner Transit Center
21,21 - Sandy Blvd/223rd,1,To Gresham Transit Center
22,22 - Parkrose,0,To Parkrose
22,22 - Parkrose,1,To Gateway Transit Center
23,23 - San Rafael,0,To Sandy & 148th
23,23 - San Rafael,1,To Gateway Transit Center
24,24 - Fremont,0,To Emanuel Hospital
24,24 - Fremont,1,To Gateway Transit Center
25,25 - Glisan/Rockwood,0,To Gateway Transit Center
25,25 - Glisan/Rockwood,1,To Rockwood
29,29 - Lake/Webster Rd,0,To Clackamas Town Center
29,29 - Lake/Webster Rd,1,To Milwaukie
30,30 - Estacada,0,To Estacada
30,30 - Estacada,1,To Clackamas Town Center
32,32 - Oatfield,0,To Clackamas CC
32,32 - Oatfield,1,To Oregon City Transit Center or Milwaukie
33,33 - McLoughlin/King Rd,0,To Oregon City TC and Clackamas Community College
